r2,rmse,dataset,mse,null,pattern,rmse_vals,time,alg
0.9514477944413677,0.22845698738810835,retailer,0.22845698738810835,0,NA,0,0,
0.9132014511639661,0.3039010875572243,retailer,0.3039010875572243,0.05,MCAR,0.47224035163261885,50.15370512008667,gain
0.9421904701909106=0.01,0.23539645889888815,retailer,0.23539645889888815,0.05,MCAR,0.11411132187290535,185.36944699287415,mice
0.9316833579435568,0.27046062247636665,retailer,0.27046062247636665,0.05,MCAR,0.36693150181485684,204.41172456741333,missforest
0.902578642,0.3217488052447616,retailer,0.3217488052447616,0.05,MCAR,1.021067428835054,0.7887580394744873,mean
0.9223739329590264,0.2873954006438292,retailer,0.2873954006438292,0.05,MAR,0.5432008643667267,51.38933062553406,gain
0.9416207072895704,0.23673554537208973,retailer,0.23673554537208973,0.05,MAR,0.11741120356260445,184.90511465072632,mice
0.9384506534915639,0.25589075055301663,retailer,0.25589075055301663,0.05,MAR,0.7815970094053841,283.43547534942627,missforest
0.9222381518998015,0.2874571657584267,retailer,0.2874571657584267,0.05,MAR,1.768240961,0.7804429531097412,mean
0.9174909225101127,0.2962967499668749,retailer,0.2962967499668749,0.05,MNAR,0.48001234227741485,48.72179627418518,gain
0.9421854262452419,0.23540834834345155,retailer,0.23540834834345155,0.05,MNAR,0.12451817011947139,184.72776556015015,mice
0.9310974271561131,0.26989688030629533,retailer,0.26989688030629533,0.05,MNAR,0.44807477960103226,187.35898399353027,missforest
0.9045050362663217,0.31855181694270607,retailer,0.31855181694270607,0.05,MNAR,1.2528211533137636,0.8311207294464111,mean
0.8865138187116152,0.3474941625455291,retailer,0.3474941625455291,0.1,MCAR,0.4521779016838918,48.162779569625854,gain
0.9446608251850569,0.23949602426544224,retailer,0.23949602426544224,0.1,MCAR,0.11592122653726006,187.67594552,mice
0.9129848298818471,0.30469070570264173,retailer,0.30469070570264173,0.1,MCAR,0.3697637041498112,198.12394309043884,missforest
0.8594524175919604,0.38645732397547544,retailer,0.38645732397547544,0.1,MCAR,1.0199651230902722,0.7800040245056152,mean
0.8931023178410877,0.3372563739859535,retailer,0.3372563739859535,0.1,MAR,0.549067148,50.68384408950806,gain
0.9435950142482569,0.23206094021574782,retailer,0.23206094021574782,0.1,MAR,0.12008389826970917,187.80621695518494,mice
0.9225972618617904,0.2864981538072856,retailer,0.2864981538072856,0.1,MAR,0.7154049317933512,124.19212436676025,missforest
0.8870114243902841,0.34650309597301854,retailer,0.34650309597301854,0.1,MAR,1.5751163148085054,0.7938296794891357,mean
0.8971377354657241,0.3308293736348651,retailer,0.3308293736348651,0.1,MNAR,0.5050539734254657,48.58166957,gain
0.9434446842551665,0.2324203350846024,retailer,0.2324203350846024,0.1,MNAR,0.11197491316160649,188.066768646240234,mice
0.9213665970186542,0.28608301489933785,retailer,0.28608301489933785,0.1,MNAR,0.5686394056237232,277.47602128982544,missforest
0.8872458942638981,0.3461433838100221,retailer,0.3461433838100221,0.1,MNAR,1.3581787911839514,0.7788424491882324,mean
0.8266748460156254,0.4294442769595968,retailer,0.4294442769595968,0.2,MCAR,0.4524036749834443,50.99695634841919,gain
0.9496540720560033,0.2170568996035631,retailer,0.2170568996035631,0.2,MCAR,0.11423575728901124,188.94036817550659,mice
0.8748575317243883,0.3654546883036822,retailer,0.3654546883036822,0.2,MCAR,0.36714037097964614,262.69227361679077,missforest
0.7729220026136389,0.4912215150240893,retailer,0.4912215150240893,0.2,MCAR,1.0198055551420302,0.7904102802276611,mean
0.834960605,0.41905384913733673,retailer,0.41905384913733673,0.2,MAR,0.536095301,48.442012310028076,gain
0.9475870486625014,0.23829467437292668,retailer,0.23829467437292668,0.2,MAR,0.11682977315997056,188.415282249450684,mice
0.8968569569389755,0.33434926262345616,retailer,0.33434926262345616,0.2,MAR,0.6483771687083727,257.0650978088379,missforest
0.8206297462300056,0.4365812336904716,retailer,0.4365812336904716,0.2,MAR,1.4031698475443428,0.7639570236206055,mean
0.80687085,0.45331484024562585,retailer,0.45331484024562585,0.2,MNAR,0.4948147799756067,48.670883655548096,gain
0.9494762861217396,0.21751260036632044,retailer,0.21751260036632044,0.2,MNAR,0.12600034762884071,181.373825550079346,mice
0.8778269203402967,0.36370891966569147,retailer,0.36370891966569147,0.2,MNAR,0.4773945123147469,305.3617925643921,missforest
0.7719181970997617,0.49230604796242955,retailer,0.49230604796242955,0.2,MNAR,1.2334021279677203,0.8146758079528809,mean
0.6799241397387055,0.5835827991801473,retailer,0.5835827991801473,0.4,MCAR,0.4687189527130538,52.172043323516846,gain
0.9492155501116747,0.21086542411427833,retailer,0.21086542411427833,0.4,MCAR,0.11390879158415332,188.89704513549805,mice
0.8084701195106084,0.4492698178829554,retailer,0.4492698178829554,0.4,MCAR,0.36978454829169627,226.74468398094177,missforest
0.6082747089831608,0.6451796467615197,retailer,0.6451796467615197,0.4,MCAR,1.0213486668496508,0.8049626350402832,mean
0.7320353618181594,0.5339674272399496,retailer,0.5339674272399496,0.4,MAR,0.6410789570630469,48.540910720825195,gain
0.9476489383051712,0.21541041305187622,retailer,0.21541041305187622,0.4,MAR,0.12261620555904541,189.74458312988281,mice
0.837039395,0.41300806955339725,retailer,0.41300806955339725,0.4,MAR,0.5900367417107223,188.58333683013916,missforest
0.6810679654591831,0.582155392,retailer,0.582155392,0.4,MAR,1.2668951679041254,0.7953057289123535,mean
0.6572876123475249,0.6038664805371855,retailer,0.6038664805371855,0.4,MNAR,0.529097952,48.803061962127686,gain
